country_code,country_name,wb_region,wb_income,isic_section_index,isic_section_name,industry_id,industry_name,growth_rate_2015,growth_rate_2016,growth_rate_2017,growth_rate_2018,growth_rate_2019
ae,United Arab Emirates,Middle East & North Africa,High income,B,Mining and quarrying,56,Mining & Metals,7.8,5.854956753,4.340239913,1.004814737,-0.062137531
ae,United Arab Emirates,Middle East & North Africa,High income,B,Mining and quarrying,57,Oil & Energy,3.301482561,1.347855388,1.745907349,1.851415852,2.260593927
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,15,Pharmaceuticals,17.13665944,13.69863014,9.063054346,4.814814815,2.842339008
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,23,Food Production,6.335128286,3.8647343,2.213666987,0.598991173,0.431699044
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,52,Aviation & Aerospace,9.660743134,5.674418605,2.867277564,1.504826803,0.081610446
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,53,Automotive,7.817082111,5.509059137,2.982250653,0.618736383,0.204237937
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,54,Chemicals,12.644545,9.811227024,6.706586826,2.928391672,1.234023799
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,55,Machinery,9.712441315,7.510348906,3.2239819,2.37045204,0.106723586
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,58,Shipbuilding,5.263157895,2.801932367,-0.096339114,0.097847358,-0.192307692
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,60,Textiles,10.1750547,7.377979569,5.111111111,-0.855614973,-0.425985091
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,61,Paper & Forest Products,7.407407407,7.317073171,3.664921466,3.926701571,3.676470588
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,83,Printing,4.594180704,1.818181818,0.399201597,0.492368291,-0.145914397
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,112,Electrical & Electronic Manufacturing,8.354335854,7.133458647,4.408651634,1.79147259,0.506417533
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,117,Plastics,2.485089463,-0.390243902,-2.026049204,-2.248803828,-1.195028681
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,144,Renewables & Environment,9.631019387,9.800249688,8.401400233,5.901287554,-0.098570724
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,145,"Glass, Ceramics & Concrete",3.622392975,4.449388209,3.06345733,2.260495156,0.844772967
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,146,Packaging & Containers,9.49197861,7.373271889,3.691915977,2.512254902,0.468933177
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,147,Industrial Automation,10.70715142,8.006341657,5.283455457,4.480955937,2.943287868
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,3,Computer Hardware,-2.13836478,1.492537313,-0.805369128,-0.806451613,-0.132450331
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,4,Computer Software,21.52127981,18.07429871,13.49310094,9.039780521,3.576428662
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,5,Computer Networking,19.41489362,5.717916137,4.308093995,3.57615894,5.497382199
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,6,Internet,34.94271686,26.06202763,17.69248771,13.28091798,10.88345865
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,7,Semiconductors,7.082152975,4.140127389,0.673400673,1.006711409,-0.986842105
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,8,Telecommunications,11.97937326,10.51388409,3.72519759,2.329514457,0.185607467
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,35,Motion Pictures & Film,5.735660848,5.432098765,-1.176470588,-3.009259259,0.236966825
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,36,Broadcast Media,3.625690608,4.576090812,2.67826087,-1.314902225,-2.51593425
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,81,Newspapers,2.36869207,-1.208791209,1.405152225,0.347624565,-1.965317919
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,82,Publishing,2.111716621,-1.681850035,-1.667875272,-3.934191702,-0.363901019
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,96,Information Technology & Services,21.71080176,15.29162415,10.44432507,6.114086836,2.803297998
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,103,Writing & Editing,12.96296296,8.219178082,3.47826087,2.074688797,1.556420233
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,109,Computer Games,16.29213483,17.87709497,8.695652174,5.347593583,-0.495049505
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,113,Online Media,0.950871632,2.786885246,5.7187017,7.288629738,0.662251656
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,118,Computer & Network Security,19.44216571,13.48402182,11.92392099,7.791327913,3.595784253
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,119,Wireless,4.255319149,35.07462687,10.98901099,3.015075377,3.535353535
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,126,Media Production,2.699261523,-1.27064803,-1.130233753,-0.33290653,0.127097102
ae,United Arab Emirates,Middle East & North Africa,High income,K,Financial and insurance activities,41,Banking,7.541782883,2.939389995,2.244108944,1.734965407,0.634139219
ae,United Arab Emirates,Middle East & North Africa,High income,K,Financial and insurance activities,42,Insurance,7.544715447,6.205559147,4.742225437,2.489463883,1.359969987
ae,United Arab Emirates,Middle East & North Africa,High income,K,Financial and insurance activities,43,Financial Services,12.34214356,8.966558181,6.306555863,4.286418867,1.809140015
ae,United Arab Emirates,Middle East & North Africa,High income,K,Financial and insurance activities,45,Investment Banking,8.934707904,4.504504505,10.8411215,3.546099291,-0.862068966
ae,United Arab Emirates,Middle East & North Africa,High income,K,Financial and insurance activities,46,Investment Management,1.971496437,2.394928387,0.885759709,1.344444444,1.126609442
ae,United Arab Emirates,Middle East & North Africa,High income,K,Financial and insurance activities,106,Venture Capital & Private Equity,5.239179954,5.960264901,0.60851927,0.87804878,1.216089804
ae,United Arab Emirates,Middle East & North Africa,High income,K,Financial and insurance activities,129,Capital Markets,16.05351171,6.940063091,8.598726115,6.811145511,8.849557522
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,9,Law Practice,12.48513674,7.820895522,4.524089307,3.216542217,3.153153153
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,10,Legal Services,7.01320132,7.58077879,4.33582972,2.242493349,0.762527233
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,11,Management Consulting,9.065296652,6.752722872,5.222333154,4.03724449,3.077761133
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,12,Biotechnology,16.31944444,14.26914153,9.378407852,6.735751295,1.37524558
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,16,Veterinary,4.242424242,6.289308176,6.547619048,4.395604396,2.564102564
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,47,Accounting,15.03586066,12.98141664,8.21737989,5.933682373,1.802418435
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,50,Architecture & Planning,8.357750802,6.695938529,3.075525564,0.624063904,-0.242865817
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,70,Research,25.47169811,18.62745098,10.38251366,4.890604891,5.541871921
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,76,Executive Office,7.020965383,6.67297681,6.800894855,5.363036304,6.318577374
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,80,Marketing & Advertising,7.678386763,4.997410668,1.941260146,0.655093351,-0.362661621
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,84,Information Services,9.391124871,4.914744233,3.581800581,2.811621368,-0.089766607
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,86,Environmental Services,4.617075852,3.851744186,1.992310381,1.319350474,-0.359829899
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,97,Market Research,2.649006623,-2.588686481,-3.872889772,-6.28115653,-2.755102041
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,98,Public Relations & Communications,4.282315623,-1.239349342,0.612088753,-0.286532951,-0.672494956
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,99,Design,8.030592734,2.92476754,0.462886428,1.101571359,1.146536831
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,105,Professional Training & Coaching,2.5390625,1.383399209,0.0643915,1.80798005,1.603325416
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,108,Translation & Localization,12.7090301,4.6875,14.0625,5.93220339,4.456824513
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,110,Events Services,5.116929842,2.188183807,1.992648481,1.351601555,1.685393258
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,123,Outsourcing/Offshoring,4.805725971,9.109979023,3.616304015,2.205882353,-1.271061188
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,135,Mechanical or Industrial Engineering,9.650107991,6.844300673,3.513957307,1.998234492,0.614260166
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,136,Photography,2.030456853,0,2.564102564,-0.24691358,-0.484261501
ae,United Arab Emirates,Middle East & North Africa,High income,M,Professional scientific and technical activities,140,Graphic Design,5.957446809,2.536997886,-1.255230126,-0.209205021,-1.996007984
ae,United Arab Emirates,Middle East & North Africa,High income,R,"Arts, entertainment and recreation ",28,Entertainment,8.670694864,16.17733412,-1.296434804,-0.300676522,0.271470879
ae,United Arab Emirates,Middle East & North Africa,High income,R,"Arts, entertainment and recreation ",33,Sports,7.454545455,3.357314149,5.857988166,4.276871131,-2.695560254
ae,United Arab Emirates,Middle East & North Africa,High income,R,"Arts, entertainment and recreation ",37,Museums & Institutions,5.952380952,7.100591716,14.52513966,14.62264151,10.90225564
ae,United Arab Emirates,Middle East & North Africa,High income,R,"Arts, entertainment and recreation ",38,Fine Art,5.699481865,4.787234043,6.914893617,3.535353535,0.921658986
ae,United Arab Emirates,Middle East & North Africa,High income,R,"Arts, entertainment and recreation ",39,Performing Arts,17.26618705,22.51655629,4.663212435,-1.492537313,-1.030927835
ae,United Arab Emirates,Middle East & North Africa,High income,R,"Arts, entertainment and recreation ",111,Arts & Crafts,0.248138958,3.636363636,2.255639098,1.201923077,-0.700934579
ae,United Arab Emirates,Middle East & North Africa,High income,R,"Arts, entertainment and recreation ",115,Music,9.974424552,6.281407035,0.715990453,1.909307876,5.450236967
ae,United Arab Emirates,Middle East & North Africa,High income,R,"Arts, entertainment and recreation ",124,"Health, Wellness & Fitness",8.028565246,6.453687822,3.886853887,2.198649952,1.103872602
ae,United Arab Emirates,Middle East & North Africa,High income,R,"Arts, entertainment and recreation ",127,Animation,8.625336927,6.951871658,7.672634271,5.760368664,2.474226804
af,Afghanistan,South Asia,Low income,B,Mining and quarrying,57,Oil & Energy,-9.963099631,-0.429184549,9.302325581,2.262443439,-1.304347826
af,Afghanistan,South Asia,Low income,C,Manufacturing,15,Pharmaceuticals,7.142857143,6,9.473684211,4.12371134,-1.886792453
af,Afghanistan,South Asia,Low income,C,Manufacturing,23,Food Production,10,-1.818181818,8,1.851851852,0
af,Afghanistan,South Asia,Low income,C,Manufacturing,52,Aviation & Aerospace,3.658536585,0,-5.681818182,3.260869565,0
af,Afghanistan,South Asia,Low income,C,Manufacturing,53,Automotive,-2.052785924,-1.183431953,1.488095238,1.474926254,2.31884058
af,Afghanistan,South Asia,Low income,C,Manufacturing,55,Machinery,-12.6984127,-8.771929825,-8.771929825,-3.571428571,-10.34482759
af,Afghanistan,South Asia,Low income,C,Manufacturing,112,Electrical & Electronic Manufacturing,-10.56338028,-1.515151515,-8.571428571,-8.148148148,-5.303030303
af,Afghanistan,South Asia,Low income,J,Information and communication,4,Computer Software,0.694444444,-0.229357798,1.157407407,1.843317972,-0.892857143
af,Afghanistan,South Asia,Low income,J,Information and communication,6,Internet,0,2.222222222,-1.075268817,-2.116402116,-0.526315789
af,Afghanistan,South Asia,Low income,J,Information and communication,8,Telecommunications,-5.711318795,-4.667381974,-2.540033131,-1.337047354,-0.995575221
af,Afghanistan,South Asia,Low income,J,Information and communication,36,Broadcast Media,-3.985507246,-2.264150943,-1.930501931,0.772200772,-0.381679389
af,Afghanistan,South Asia,Low income,J,Information and communication,96,Information Technology & Services,-9.565916399,-6.37945319,-6.705298013,-3.538331929,0.170357751
af,Afghanistan,South Asia,Low income,J,Information and communication,103,Writing & Editing,-0.267379679,0.269541779,-0.533333333,-0.533333333,-0.267379679
af,Afghanistan,South Asia,Low income,J,Information and communication,113,Online Media,-9.677419355,-8.333333333,-8.620689655,-1.851851852,1.818181818
af,Afghanistan,South Asia,Low income,J,Information and communication,126,Media Production,-7.692307692,-7.920792079,-2.083333333,0,2.083333333
af,Afghanistan,South Asia,Low income,K,Financial and insurance activities,41,Banking,0.752823087,-1.889168766,-0.128865979,-0.383141762,0.638569604
af,Afghanistan,South Asia,Low income,K,Financial and insurance activities,42,Insurance,-2.43902439,2.666666667,3.75,3.896103896,6.578947368
af,Afghanistan,South Asia,Low income,K,Financial and insurance activities,43,Financial Services,-7.116104869,-2.352941176,-2.692307692,-5.597014925,-7.835820896
af,Afghanistan,South Asia,Low income,M,Professional scientific and technical activities,10,Legal Services,-8,1.470588235,-2.666666667,-6.578947368,-5.405405405
af,Afghanistan,South Asia,Low income,M,Professional scientific and technical activities,11,Management Consulting,-6.563706564,-4.752475248,-4.435483871,0.420168067,0.201207243
af,Afghanistan,South Asia,Low income,M,Professional scientific and technical activities,47,Accounting,0,1.666666667,-2.419354839,1.612903226,-3.846153846
